X,Y,Dist,bottom,surface
-165675.70316665308,-2208535.502848153,8446.564676231443,190.12443628435187,1172.6852434830803
-165766.1650746828,-2208527.4099321254,8537.387952319952,186.3645246744493,1170.447715732125
-165856.6028358582,-2208519.0563732274,8628.211228408461,155.21407770972337,1167.3927362713944
-165947.03795698017,-2208510.674698961,8719.034504496973,130.68443382869302,1163.220980798131
-166037.46195190935,-2208502.174479101,8809.857780585482,97.65459950830932,1160.8942278421507
-166127.86678828794,-2208493.4702570466,8900.681056673993,69.00636188438665,1156.6047136912564
-166218.25947978633,-2208484.6368624386,8991.504332762503,45.323419022079804,1155.6021225629265
-166308.64045769934,-2208475.6879490796,9082.327608851012,27.167455418801186,1154.880974199139
-166399.00967601154,-2208466.623130169,9173.150884939523,10.03934114714999,1154.7543375470373
-166489.3551836983,-2208457.3249054137,9263.974161028033,4.090358890951005,1155.3130298101648
-166579.67822255017,-2208447.805696002,9354.797437116544,12.610582875842244,1156.759543792037
-166669.97575218155,-2208438.0527323727,9445.620713205053,27.414316739427314,1154.1967661400415
-166760.246701895,-2208428.0564701553,9536.443989293562,48.7556495228346,1156.4501972328333
-166850.48334128966,-2208417.753295453,9627.267265382074,68.05453411138801,1153.9573224051746
-166940.69105963543,-2208407.202457701,9718.090541470583,89.3774757557524,1155.8565912735764
-167030.89928640824,-2208396.6559275365,9808.913817559094,97.21996659609736,1154.7275559628222
-167121.10302898774,-2208386.071050978,9899.737093647604,109.72676566424515,1153.2267196869414
-167211.31393746854,-2208375.547436581,9990.560369736115,125.20479450951981,1152.6002165268135
-167301.5377285369,-2208365.133921371,10081.383645824624,141.07462844888371,1152.050211970718
-167391.75757142654,-2208354.686572987,10172.206921913134,144.4750478040989,1147.9317736795258
-167481.9663804707,-2208344.1449873853,10263.030198001645,132.9492803367592,1147.7652317647285
-167572.19434755764,-2208333.766952086,10353.853474090154,115.26006521823825,1142.554649098383
-167662.42576881236,-2208323.4182763076,10444.676750178665,99.27503699261797,1141.575623142653
-167752.66974386544,-2208313.1766301584,10535.500026267175,78.48632090148993,1140.6771802881829
-167842.91254488615,-2208302.924309486,10626.323302355684,72.97660173865113,1136.5414224084861
-167933.16878478805,-2208292.7945582876,10717.146578444195,72.3235635472193,1132.8990722465394
-168023.42436378414,-2208282.6586451214,10807.969854532705,78.87220431388874,1129.714700091797
-168113.627355838,-2208272.067429864,10898.793130621216,89.13445386025083,1127.1877663834746
-168203.76218964046,-2208260.910496974,10989.616406709725,88.40786772018922,1121.8947027216898
-168293.81166101948,-2208249.0841877772,11080.439682798236,84.5909680786529,1119.4646088318032
-168383.76555596647,-2208236.557371708,11171.262958886746,74.0501479806339,1118.4343644184364
-168473.6248874894,-2208223.36381911,11262.086234975255,68.82435875074226,1117.139475174058
-168563.3467564127,-2208209.2658420033,11352.909511063766,66.53338076643617,1112.1655030033758
-168652.9987029952,-2208194.7296621585,11443.732787152276,67.13130380855117,1114.3942075159994
-168742.51345432343,-2208179.371235658,11534.556063240787,62.33209208886708,1110.8213838844483
-168831.95340058947,-2208163.5822981982,11625.379339329296,56.4978179072501,1112.092088026126
-168921.27604125178,-2208147.1420952375,11716.202615417806,45.66418551640436,1108.2905170673241
-169010.52875125126,-2208130.327460321,11807.025891506317,17.60983996937623,1108.7252984614076
-169099.73546856077,-2208113.2690287083,11897.849167594826,7.202914642086171,1107.949998324485
-169188.8920282833,-2208095.952555623,11988.672443683337,2.2903252132289778,1105.8398838649402
-169277.98463216593,-2208078.309984426,12079.495719771847,2.9979002594437985,1107.668243629483
-169367.04111292903,-2208060.4849666576,12170.318995860356,-4.759700610437193,1109.0092027676208
-169456.04551676492,-2208042.4025473977,12261.142271948867,-9.220911026572711,1105.6090889734273
